code,Field title
25593,Weighted-mean L1 in tract superior thalamic radiation (right)
25594,Weighted-mean L1 in tract uncinate fasciculus (left)
25595,Weighted-mean L1 in tract uncinate fasciculus (right)
25596,Weighted-mean L2 in tract acoustic radiation (left)
25597,Weighted-mean L2 in tract acoustic radiation (right)
25598,Weighted-mean L2 in tract anterior thalamic radiation (left)
25599,Weighted-mean L2 in tract anterior thalamic radiation (right)
25600,Weighted-mean L2 in tract cingulate gyrus part of cingulum (left)
25601,Weighted-mean L2 in tract cingulate gyrus part of cingulum (right)
25604,Weighted-mean L2 in tract corticospinal tract (left)
25605,Weighted-mean L2 in tract corticospinal tract (right)
25606,Weighted-mean L2 in tract forceps major
25607,Weighted-mean L2 in tract forceps minor
25608,Weighted-mean L2 in tract inferior fronto-occipital fasciculus (left)
25609,Weighted-mean L2 in tract inferior fronto-occipital fasciculus (right)
25610,Weighted-mean L2 in tract inferior longitudinal fasciculus (left)
25611,Weighted-mean L2 in tract inferior longitudinal fasciculus (right)
25613,Weighted-mean L2 in tract medial lemniscus (left)
25614,Weighted-mean L2 in tract medial lemniscus (right)
25612,Weighted-mean L2 in tract middle cerebellar peduncle
25602,Weighted-mean L2 in tract parahippocampal part of cingulum (left)
25603,Weighted-mean L2 in tract parahippocampal part of cingulum (right)
25615,Weighted-mean L2 in tract posterior thalamic radiation (left)
25616,Weighted-mean L2 in tract posterior thalamic radiation (right)
25617,Weighted-mean L2 in tract superior longitudinal fasciculus (left)
25618,Weighted-mean L2 in tract superior longitudinal fasciculus (right)
25619,Weighted-mean L2 in tract superior thalamic radiation (left)
25620,Weighted-mean L2 in tract superior thalamic radiation (right)
25621,Weighted-mean L2 in tract uncinate fasciculus (left)
25622,Weighted-mean L2 in tract uncinate fasciculus (right)
25623,Weighted-mean L3 in tract acoustic radiation (left)
25624,Weighted-mean L3 in tract acoustic radiation (right)
25625,Weighted-mean L3 in tract anterior thalamic radiation (left)
25626,Weighted-mean L3 in tract anterior thalamic radiation (right)
25627,Weighted-mean L3 in tract cingulate gyrus part of cingulum (left)
25628,Weighted-mean L3 in tract cingulate gyrus part of cingulum (right)
25631,Weighted-mean L3 in tract corticospinal tract (left)
25632,Weighted-mean L3 in tract corticospinal tract (right)
25633,Weighted-mean L3 in tract forceps major
25634,Weighted-mean L3 in tract forceps minor
25635,Weighted-mean L3 in tract inferior fronto-occipital fasciculus (left)
25636,Weighted-mean L3 in tract inferior fronto-occipital fasciculus (right)
25637,Weighted-mean L3 in tract inferior longitudinal fasciculus (left)
25638,Weighted-mean L3 in tract inferior longitudinal fasciculus (right)
25640,Weighted-mean L3 in tract medial lemniscus (left)
25641,Weighted-mean L3 in tract medial lemniscus (right)
