max_depth,n_estimators,max_features,min_samples_split,min_samples_leaf,max_samples,balanced_accuracy,roc_auc,bestIC,qsidp
10,250,0.8207198244455463,11,1,0.7075728269735581,0.521070745845281,0.5343007122375358,500,None
17,200,0.6979545641898504,7,12,0.6247587431361683,0.5160226466870164,0.5193398698856104,500,['t1vols']
7,100,0.4021402459263894,14,12,0.9223021950594535,0.5265570560848519,0.5350591989640181,500,['subcorticalvol']
3,150,0.9005288231748388,8,3,0.8928056662214003,0.5197345296457312,0.5297158758055067,500,['fast']
30,200,0.24113070586289284,5,7,0.8665275511811235,0.5315959054049887,0.5402653161902999,500,['t2star']
14,75,0.7484950666705074,3,3,0.6032927351024077,0.5197618937501927,0.5210395276415997,500,['wdmri']
2,225,0.9291960325070355,13,2,0.7486470984500576,0.5281191224986896,0.5396278481793235,500,['taskfmri']
8,25,0.3260409900510193,14,7,0.6731921415008008,0.5138204143927481,0.5129066074677027,500,"['t1vols', 'subcorticalvol']"
6,175,0.7344442794922998,12,8,0.8434596036286689,0.5166751456849505,0.5257962568988376,500,"['t1vols', 'fast']"
9,200,0.5630027876948926,6,4,0.9586619250664759,0.5175604322757685,0.5276785989578516,500,"['t1vols', 't2star']"
18,200,0.7583990381531333,8,8,0.988612977642166,0.5120775907254956,0.5181867233990072,500,"['t1vols', 'wdmri']"
2,50,0.8811024033234086,3,6,0.8213361000491426,0.5219429284987512,0.531247880245429,500,"['t1vols', 'taskfmri']"
8,125,0.29713009430110626,5,12,0.7731025324284451,0.5225961983165295,0.5311326426787532,500,"['subcorticalvol', 'fast']"
24,225,0.3682999874717854,7,12,0.7210643484471989,0.5267813646594518,0.5362092621712453,500,"['subcorticalvol', 't2star']"
8,125,0.550776924709112,13,8,0.6560757289594035,0.5195337310763728,0.5289057441494773,500,"['subcorticalvol', 'wdmri']"
3,150,0.7077895244257105,9,7,0.871690192832689,0.5296376375913422,0.5374741775352265,500,"['subcorticalvol', 'taskfmri']"
3,50,0.6952475871328805,11,10,0.7296747304130137,0.5245733512163537,0.5316267381987482,500,"['fast', 't2star']"
29,175,0.5337838461232579,3,12,0.9052314681607732,0.5158083587703881,0.5225264391206487,500,"['fast', 'wdmri']"
4,250,0.8248403413469337,14,12,0.8292630443536155,0.5272153362316159,0.5330095889988592,500,"['fast', 'taskfmri']"
2,250,0.9197703161773856,7,7,0.7631086562090088,0.5166782289643265,0.5222990472666728,500,"['t2star', 'wdmri']"
4,225,0.24213961614505533,7,3,0.6710459891680038,0.5276508494434681,0.5423958622390775,500,"['t2star', 'taskfmri']"
6,225,0.576283645276112,14,5,0.822248756731608,0.5164670243270743,0.5254231800943483,500,"['wdmri', 'taskfmri']"
6,100,0.8231320770755125,14,1,0.9396405856432899,0.5142597817038201,0.5196851971757162,500,"['t1vols', 'subcorticalvol', 'fast']"
14,25,0.9030726756747557,9,10,0.9632522642229596,0.5155817377362563,0.5116524835815374,500,"['t1vols', 'subcorticalvol', 't2star']"
14,25,0.8049068268151692,8,3,0.8447468767115973,0.5173299571424166,0.519743779483859,500,"['t1vols', 'subcorticalvol', 'wdmri']"
2,125,0.6349200796849311,4,14,0.7641797615262442,0.5190881972065489,0.5250755403447107,500,"['t1vols', 'subcorticalvol', 'taskfmri']"
20,125,0.7164148713958379,8,2,0.8375141166699727,0.5247949619214997,0.5271220670304937,500,"['t1vols', 'fast', 't2star']"
12,25,0.17284060806447885,14,9,0.7690862370873226,0.5087707735947955,0.5171083464372707,500,"['t1vols', 'fast', 'wdmri']"
12,225,0.4032888665054526,6,9,0.8507270327265525,0.5144736842105263,0.5224963771467332,500,"['t1vols', 'fast', 'taskfmri']"
21,175,0.9332137907040042,12,13,0.7171105162856439,0.5171187525051645,0.5173835291215737,500,"['t1vols', 't2star', 'wdmri']"
9,250,0.751470297461096,7,7,0.8057640137597726,0.5215085715166652,0.5289527641599605,500,"['t1vols', 't2star', 'taskfmri']"
16,75,0.41645548407562494,8,12,0.835091354037116,0.514709940492708,0.5203172694477847,500,"['t1vols', 'wdmri', 'taskfmri']"
4,125,0.4892047147220465,12,2,0.9072890010529973,0.519963077729473,0.5293867357321247,500,"['subcorticalvol', 'fast', 't2star']"
16,100,0.7799389374302462,9,4,0.9106161502040868,0.5107552492831375,0.5223283384207442,500,"['subcorticalvol', 'fast', 'wdmri']"
7,100,0.8991391353531585,10,4,0.9615449210822588,0.5190962908149107,0.5334443313908673,500,"['subcorticalvol', 'fast', 'taskfmri']"
4,100,0.8815435291469255,9,14,0.8700395040078932,0.5182163999630006,0.5279460734437147,500,"['subcorticalvol', 't2star', 'wdmri']"
4,75,0.8663554906160108,7,4,0.7827234727236256,0.5261180741837018,0.5443313908673265,500,"['subcorticalvol', 't2star', 'taskfmri']"
11,75,0.406418551552874,9,13,0.7476396778544496,0.513385286590818,0.5246215274566028,500,"['subcorticalvol', 'wdmri', 'taskfmri']"
26,150,0.7120288640645707,10,5,0.8294935035619406,0.5219556470261771,0.5262271451916258,500,"['fast', 't2star', 'wdmri']"
3,200,0.34111022969783195,7,10,0.841370026404409,0.5223788271205254,0.5353698393611445,500,"['fast', 't2star', 'taskfmri']"
4,100,0.9686166705526753,6,11,0.8549209077259559,0.5151396725557302,0.5259789412018623,500,"['fast', 'wdmri', 'taskfmri']"
3,200,0.8931844936547036,12,11,0.8937831356077766,0.5199808065858847,0.5293219868652298,500,"['t2star', 'wdmri', 'taskfmri']"
3,225,0.9434448645539957,2,4,0.9029945889069092,0.5182206394721425,0.5176525452471249,500,"['t1vols', 'subcorticalvol', 'fast', 't2star']"
