modalities
dr_stage2_18
dr_stage2_17
dr_stage2_7
all_L3_skeletonised
dr_stage2_6
dr_stage2_15
all_OD_skeletonised
dr_stage2_8
zstat1
T1_GM_to_template_GM_mod
dr_stage2_11
all_L2_skeletonised
all_ICVF_skeletonised
final_mask_to_MNI
all_FA_skeletonised
dr_stage2_0
dr_stage2_19
dr_stage2_3
dr_stage2_21
dr_stage2_14
dr_stage2_2
dr_stage2_16
all_L1_skeletonised
dr_stage2_10
dr_stage2_22
dr_stage2_1
all_MO_skeletonised
tractsNormSummed
all_MD_skeletonised
T2star_to_MNI
dr_stage2_24
dr_stage2_13
dr_stage2_4
dr_stage2_9
cope2
dr_stage2_12
all_ISOVF_skeletonised
cope5
dr_stage2_20
dr_stage2_5
zstat2
T1_to_MNI_warp_jac
dr_stage2_23
zstat5
cope1
