max_depth,n_estimators,max_features,min_samples_split,min_samples_leaf,max_samples,balanced_accuracy,roc_auc,bestIC,qsidp
2,225,0.6866328098851249,12,12,0.8973489864826215,0.30720338983050843,0.5574966484726611,200,None
4,200,0.51931818730895,13,14,0.7036071162865914,0.2992584745762712,0.5544308986881165,200,['cognitive']
17,250,0.5408686956055105,13,12,0.6435862077897482,0.3522245762711864,0.604358182514603,200,['demographic']
4,200,0.9536696420621492,13,7,0.6828210382258838,0.3061440677966102,0.5566842023364934,200,['lifestyle']
12,250,0.16935429281867304,12,4,0.954083964470513,0.3125,0.5576776907976635,200,['mental']
2,125,0.6757029663280092,13,10,0.8545945935387995,0.3606991525423729,0.6003976946279804,200,"['cognitive', 'demographic']"
7,200,0.8028538549694805,14,7,0.9256434378660563,0.30508474576271183,0.5635877501675763,200,"['cognitive', 'lifestyle']"
3,200,0.27713550825071165,5,11,0.6617177881158892,0.3045550847457627,0.5621319304797472,200,"['cognitive', 'mental']"
19,225,0.3466552235073963,10,11,0.7541482258109469,0.3522245762711864,0.6031043521976444,200,"['demographic', 'lifestyle']"
2,225,0.2508661475836893,11,12,0.9757503252069362,0.3617584745762712,0.6071516207028631,200,"['demographic', 'mental']"
6,175,0.39494909652219595,4,14,0.8224847748072699,0.2939618644067796,0.5670260581250599,200,"['lifestyle', 'mental']"
4,125,0.6036526471380582,8,12,0.741283441988088,0.37235169491525427,0.6028888968687159,200,"['cognitive', 'demographic', 'lifestyle']"
4,200,0.44546957581540836,3,10,0.8673518736016426,0.357521186440678,0.6069361653739347,200,"['cognitive', 'demographic', 'mental']"
2,250,0.6043383427250497,10,3,0.851399984550328,0.3077330508474576,0.566631056688691,200,"['cognitive', 'lifestyle', 'mental']"
2,200,0.3783984317139659,11,1,0.780334682407293,0.36069915254237284,0.6049671430623385,200,"['demographic', 'lifestyle', 'mental']"
4,250,0.30880542859974347,13,2,0.9514349883315563,0.3633474576271187,0.6090518170066073,200,"['cognitive', 'demographic', 'lifestyle', 'mental']"
