max_depth,n_estimators,max_features,min_samples_split,min_samples_leaf,max_samples,balanced_accuracy,roc_auc,bestIC,qsidp
2,75,0.7827896274845767,8,2,0.754702051518939,0.5085275008401479,0.5178851958349221,50,None
7,150,0.3940544431891398,11,13,0.9762434598305954,0.5214897822016675,0.5269141073000783,50,['t1vols']
2,250,0.7474220987410845,2,10,0.7504706539787429,0.5188105106498744,0.5232102301332469,50,['subcorticalvol']
3,50,0.645960019839,5,2,0.9477405192950898,0.5164390932804173,0.5220636197331032,50,['fast']
7,250,0.7653765072886284,5,5,0.6344891794298682,0.51643369232985,0.5224084536223508,50,['t2star']
5,50,0.9943758663927399,8,5,0.9823861408231208,0.5243332826577478,0.5225683442156869,50,['wdmri']
3,100,0.7410276031994335,10,6,0.737729444425532,0.5158105826625486,0.5192462808979033,50,['taskfmri']
2,225,0.6034633689281098,12,1,0.7456519910188544,0.5225979772439949,0.5289428562688727,50,"['t1vols', 'subcorticalvol']"
2,75,0.22565489836545458,13,3,0.6531359774952831,0.5153366992590696,0.5199211480942517,50,"['t1vols', 'fast']"
8,200,0.3403218654382001,5,7,0.7716863524834341,0.5128014530557378,0.5220944099815171,50,"['t1vols', 't2star']"
2,125,0.6041280266697395,13,10,0.9698438718469263,0.5139044471827041,0.5239124477817072,50,"['t1vols', 'wdmri']"
7,175,0.3854345442198247,3,13,0.7426643530058751,0.5148584150810542,0.5217124393412835,50,"['t1vols', 'taskfmri']"
3,200,0.6481848375131081,14,12,0.7160405278681192,0.5105938645201555,0.520020753994043,50,"['subcorticalvol', 'fast']"
5,125,0.2487095494206093,13,8,0.8190989422737753,0.5172286322392741,0.5236693096670223,50,"['subcorticalvol', 't2star']"
4,75,0.7189253186996467,8,12,0.9788752879235229,0.5173832594536638,0.5206142010450223,50,"['subcorticalvol', 'wdmri']"
19,50,0.380536180507145,10,11,0.7845346832403507,0.520075733329066,0.52681564395283,50,"['subcorticalvol', 'taskfmri']"
2,150,0.37674378109772544,9,12,0.658473209840235,0.5131275104418378,0.5215298357744844,50,"['fast', 't2star']"
2,150,0.28378559930393743,14,13,0.741447349330188,0.5210281009457665,0.5245056819001408,50,"['fast', 'wdmri']"
6,75,0.4221212729616508,3,8,0.6314073577083523,0.5135965930003681,0.5204826674020544,50,"['fast', 'taskfmri']"
4,100,0.6498401042040253,2,7,0.672410430039465,0.5139052473235289,0.5192357677960171,50,"['t2star', 'wdmri']"
5,125,0.5002009272237747,5,12,0.8768345311640495,0.5161256381123078,0.5190278915132047,50,"['t2star', 'taskfmri']"
6,75,0.6251908452682754,10,5,0.6994401712406642,0.5164362927875306,0.5210280154692813,50,"['wdmri', 'taskfmri']"
3,100,0.3629193925943672,4,5,0.8699507902043218,0.5154929267551089,0.5244537819945817,50,"['t1vols', 'subcorticalvol', 'fast']"
2,225,0.35354923496081697,11,14,0.6731646020069416,0.5203837875466082,0.5257632154890107,50,"['t1vols', 'subcorticalvol', 't2star']"
2,250,0.8210047792749828,8,7,0.7028749657182494,0.5208586711261182,0.5224482801008375,50,"['t1vols', 'subcorticalvol', 'wdmri']"
3,250,0.8205107361440966,14,12,0.6873276023175748,0.5227542047400342,0.5256716145379134,50,"['t1vols', 'subcorticalvol', 'taskfmri']"
12,100,0.7214531872365275,7,9,0.7635466635160733,0.5153326985549456,0.5202108349830632,50,"['t1vols', 'fast', 't2star']"
5,225,0.16821552675776333,4,5,0.6566620633621211,0.5197648786186368,0.5268077452175198,50,"['t1vols', 'fast', 'wdmri']"
6,75,0.22539237246703306,9,4,0.678131968842601,0.5154947270719648,0.5183075088472208,50,"['t1vols', 'fast', 'taskfmri']"
3,125,0.9420840741764424,4,3,0.7477033531506663,0.5200683320264365,0.5218391782086391,50,"['t1vols', 't2star', 'wdmri']"
5,150,0.38248423391239394,8,8,0.7181832305191345,0.5169091760149787,0.5213362229375632,50,"['t1vols', 't2star', 'taskfmri']"
8,100,0.532360629836398,10,6,0.6552208887738085,0.5273414120885276,0.5271878980915559,50,"['t1vols', 'wdmri', 'taskfmri']"
6,75,0.9574117518369961,2,2,0.6295843437961492,0.5161196370561218,0.52156056937576,50,"['subcorticalvol', 'fast', 't2star']"
3,125,0.33900931236281623,11,5,0.8272866735334757,0.5213489574165053,0.5246319018392497,50,"['subcorticalvol', 'fast', 'wdmri']"
10,200,0.28584030677812233,10,3,0.984924886081965,0.5221296948262895,0.5226206123276433,50,"['subcorticalvol', 'fast', 'taskfmri']"
4,50,0.7173677421450213,2,2,0.6928445197150978,0.5175448879002704,0.5146723006561418,50,"['subcorticalvol', 't2star', 'wdmri']"
3,175,0.27712292350484846,13,12,0.6471406586518261,0.51945022323929,0.5218040741795082,50,"['subcorticalvol', 't2star', 'taskfmri']"
18,175,0.7100826317055418,12,13,0.6234236265714415,0.5188053097345133,0.5231493268731857,50,"['subcorticalvol', 'wdmri', 'taskfmri']"
8,75,0.8720236209497445,10,12,0.8423234728940068,0.5213409560082575,0.526992461419101,50,"['fast', 't2star', 'wdmri']"
2,50,0.40247506534985444,3,6,0.9867139709257677,0.5132779369168974,0.5178874971249048,50,"['fast', 't2star', 'taskfmri']"
17,250,0.17830683229772223,4,2,0.7489872212867353,0.5175488886043944,0.5213570711074732,50,"['fast', 'wdmri', 'taskfmri']"
2,75,0.2228617861823719,8,12,0.7613819946779807,0.5159544079758037,0.5167504954955511,50,"['t2star', 'wdmri', 'taskfmri']"
6,75,0.26524073469517656,4,10,0.7112589719828597,0.5211865288290739,0.523492541261219,50,"['t1vols', 'subcorticalvol', 'fast', 't2star']"
32,150,0.45276011697702456,9,11,0.6923551693934485,0.5230770615628351,0.5278529203187802,50,"['t1vols', 'subcorticalvol', 'fast', 'wdmri']"
2,50,0.6844563981082461,14,4,0.8592801883529244,0.5184894541439293,0.5249986859887087,50,"['t1vols', 'subcorticalvol', 'fast', 'taskfmri']"
6,200,0.8981216215458024,11,4,0.9599445469718667,0.5241800556898014,0.5248013162326683,50,"['t1vols', 'subcorticalvol', 't2star', 'wdmri']"
3,25,0.1636942020674997,9,5,0.6751291514388935,0.5248169677863304,0.5255057117612751,50,"['t1vols', 'subcorticalvol', 't2star', 'taskfmri']"
7,125,0.933308031468598,2,6,0.7390269900968043,0.5268631279105122,0.5233639340498644,50,"['t1vols', 'subcorticalvol', 'wdmri', 'taskfmri']"
4,75,0.28454105942504426,14,4,0.8913084791024002,0.5184940549536718,0.5272715183713041,50,"['t1vols', 'fast', 't2star', 'wdmri']"
2,50,0.15395453609486506,8,4,0.6672948116333995,0.5136007937396981,0.5228884162247195,50,"['t1vols', 'fast', 't2star', 'taskfmri']"
12,175,0.9982402417928893,12,14,0.6950745697644531,0.518176199011026,0.5238889291038611,50,"['t1vols', 'fast', 'wdmri', 'taskfmri']"
28,175,0.5947800089230744,13,11,0.9050059532665137,0.523550944966314,0.5220774699583536,50,"['t1vols', 't2star', 'wdmri', 'taskfmri']"
2,25,0.9066089965535489,12,13,0.8493861882841118,0.5211859287234553,0.5265484265053658,50,"['subcorticalvol', 'fast', 't2star', 'wdmri']"
2,175,0.9779871114144875,5,11,0.8237530094021425,0.5188075101217814,0.5227141372583218,50,"['subcorticalvol', 'fast', 't2star', 'taskfmri']"
17,250,0.1731955807365708,2,4,0.8747376926470498,0.5259235625470082,0.5279618047163153,50,"['subcorticalvol', 'fast', 'wdmri', 'taskfmri']"
6,25,0.6560904358585161,4,5,0.6778135587256685,0.5172264318520059,0.5183599514525935,50,"['subcorticalvol', 't2star', 'wdmri', 'taskfmri']"
3,150,0.3588749905524178,3,5,0.7984041185083189,0.5170722047080286,0.5189711255173326,50,"['fast', 't2star', 'wdmri', 'taskfmri']"
4,250,0.8474567680066459,9,13,0.9470016542141624,0.5189707388500375,0.52451894542289,50,"['t1vols', 'subcorticalvol', 'fast', 't2star', 'wdmri']"
13,75,0.9447115574248891,11,7,0.7322586810471585,0.5205478164156891,0.5248411325955947,50,"['t1vols', 'subcorticalvol', 'fast', 't2star', 'taskfmri']"
6,175,0.6664010688465615,4,6,0.8464227921699353,0.5218188401158603,0.5278499792196043,50,"['t1vols', 'subcorticalvol', 'fast', 'wdmri', 'taskfmri']"
5,175,0.33005312892622396,9,4,0.6221157726794468,0.5232310886716063,0.5209877868972701,50,"['t1vols', 'subcorticalvol', 't2star', 'wdmri', 'taskfmri']"
12,150,0.9790963337063473,3,3,0.6952399520157884,0.5224455504168733,0.5225033977661484,50,"['t1vols', 'fast', 't2star', 'wdmri', 'taskfmri']"
3,75,0.6121000961910905,14,13,0.879971774472033,0.5162756645169551,0.5229827746775721,50,"['subcorticalvol', 'fast', 't2star', 'wdmri', 'taskfmri']"
10,225,0.5675423993706497,9,13,0.758017074291867,0.5219684664500952,0.5234925240647663,50,"['t1vols', 'subcorticalvol', 'fast', 't2star', 'wdmri', 'taskfmri']"
