fit_time,score_time,test_accuracy,test_f1_micro,test_roc_auc_ovo,bestIC,qsidp
6.128847599029541,0.04214167594909668,0.31,0.31,0.5381925925925927,200,None
6.135034561157227,0.040390729904174805,0.30333333333333334,0.30333333333333334,0.5742074074074074,200,None
6.08980917930603,0.03938651084899902,0.27,0.27,0.5345481481481482,200,None
6.132184028625488,0.03922843933105469,0.27,0.27,0.5329333333333334,200,None
6.085829734802246,0.039182424545288086,0.31,0.31,0.5538518518518519,200,None
3.5166852474212646,0.04273200035095215,0.2833333333333333,0.2833333333333333,0.5321777777777777,200,['cognitive']
3.5194382667541504,0.04247856140136719,0.3233333333333333,0.3233333333333333,0.5757777777777777,200,['cognitive']
3.51849102973938,0.04247879981994629,0.26666666666666666,0.26666666666666666,0.5158666666666667,200,['cognitive']
3.5721020698547363,0.042382240295410156,0.3233333333333333,0.3233333333333333,0.5373629629629629,200,['cognitive']
3.5406501293182373,0.04315996170043945,0.30666666666666664,0.30666666666666664,0.5318518518518518,200,['cognitive']
2.412383794784546,0.05183267593383789,0.37333333333333335,0.37333333333333335,0.6128000000000001,200,['demographic']
2.4186031818389893,0.05185103416442871,0.38333333333333336,0.38333333333333336,0.6113629629629629,200,['demographic']
2.4162063598632812,0.05155467987060547,0.38333333333333336,0.38333333333333336,0.6033037037037037,200,['demographic']
2.4122660160064697,0.051486968994140625,0.35,0.35,0.5768444444444446,200,['demographic']
2.411024808883667,0.05207967758178711,0.37666666666666665,0.37666666666666665,0.6066518518518519,200,['demographic']
1.8517401218414307,0.04898810386657715,0.2833333333333333,0.2833333333333333,0.5355851851851852,200,['lifestyle']
1.865323781967163,0.048006296157836914,0.27,0.27,0.542162962962963,200,['lifestyle']
1.8724260330200195,0.04808688163757324,0.31666666666666665,0.31666666666666665,0.5574962962962963,200,['lifestyle']
1.8968925476074219,0.04810738563537598,0.23666666666666666,0.23666666666666666,0.5160592592592593,200,['lifestyle']
1.848097562789917,0.047992706298828125,0.28,0.28,0.518562962962963,200,['lifestyle']
8.27895474433899,0.06894135475158691,0.31666666666666665,0.31666666666666665,0.560637037037037,200,['mental']
8.346333265304565,0.06891202926635742,0.30333333333333334,0.30333333333333334,0.5813777777777779,200,['mental']
8.392240047454834,0.06926679611206055,0.27666666666666667,0.27666666666666667,0.5387407407407409,200,['mental']
8.442662954330444,0.06463861465454102,0.3233333333333333,0.3233333333333333,0.5608740740740742,200,['mental']
8.265824317932129,0.06947469711303711,0.27666666666666667,0.27666666666666667,0.5416148148148149,200,['mental']
0.6170589923858643,0.02100348472595215,0.36666666666666664,0.36666666666666664,0.5873925925925926,200,"['cognitive', 'demographic']"
0.6145873069763184,0.019613981246948242,0.37666666666666665,0.37666666666666665,0.6108444444444444,200,"['cognitive', 'demographic']"
0.613386869430542,0.019745826721191406,0.36666666666666664,0.36666666666666664,0.5991407407407408,200,"['cognitive', 'demographic']"
0.6134343147277832,0.019778013229370117,0.34,0.34,0.6058518518518519,200,"['cognitive', 'demographic']"
0.6186652183532715,0.02051997184753418,0.37333333333333335,0.37333333333333335,0.6001925925925926,200,"['cognitive', 'demographic']"
2.4279654026031494,0.05388379096984863,0.31,0.31,0.5423851851851851,200,"['cognitive', 'lifestyle']"
2.4282326698303223,0.05317950248718262,0.31666666666666665,0.31666666666666665,0.5858666666666666,200,"['cognitive', 'lifestyle']"
2.437943696975708,0.05396127700805664,0.2733333333333333,0.2733333333333333,0.531362962962963,200,"['cognitive', 'lifestyle']"
2.429272174835205,0.052774667739868164,0.31333333333333335,0.31333333333333335,0.5140148148148148,200,"['cognitive', 'lifestyle']"
2.4308996200561523,0.052788496017456055,0.30333333333333334,0.30333333333333334,0.5323111111111111,200,"['cognitive', 'lifestyle']"
2.6566760540008545,0.05017232894897461,0.3,0.3,0.5502962962962964,200,"['cognitive', 'mental']"
2.771848440170288,0.04864811897277832,0.3233333333333333,0.3233333333333333,0.5785333333333333,200,"['cognitive', 'mental']"
2.654893398284912,0.04906749725341797,0.29333333333333333,0.29333333333333333,0.5547111111111112,200,"['cognitive', 'mental']"
2.6616766452789307,0.04861140251159668,0.2966666666666667,0.2966666666666667,0.5381481481481482,200,"['cognitive', 'mental']"
2.647911548614502,0.04890036582946777,0.26,0.26,0.5390814814814814,200,"['cognitive', 'mental']"
3.842486619949341,0.04119443893432617,0.36666666666666664,0.36666666666666664,0.5900888888888889,200,"['demographic', 'lifestyle']"
3.8479230403900146,0.041353702545166016,0.38666666666666666,0.38666666666666666,0.6103999999999999,200,"['demographic', 'lifestyle']"
3.8452069759368896,0.04273414611816406,0.38,0.38,0.5920296296296296,200,"['demographic', 'lifestyle']"
3.8644044399261475,0.042139291763305664,0.36,0.36,0.5682814814814815,200,"['demographic', 'lifestyle']"
3.895719051361084,0.043625831604003906,0.37666666666666665,0.37666666666666665,0.6105777777777778,200,"['demographic', 'lifestyle']"
1.5466101169586182,0.032557010650634766,0.37333333333333335,0.37333333333333335,0.6118370370370371,200,"['demographic', 'mental']"
1.5524179935455322,0.03235459327697754,0.3933333333333333,0.3933333333333333,0.5948740740740741,200,"['demographic', 'mental']"
1.5472359657287598,0.032555580139160156,0.37333333333333335,0.37333333333333335,0.6026666666666668,200,"['demographic', 'mental']"
1.5428087711334229,0.03118753433227539,0.36666666666666664,0.36666666666666664,0.5849777777777777,200,"['demographic', 'mental']"
1.5408048629760742,0.0324399471282959,0.37666666666666665,0.37666666666666665,0.6026074074074074,200,"['demographic', 'mental']"
